"","soc_code","soc_lmi_title","employment","projected_2030","change_employment","percent_change","annual_openings_growth","exits","transfers","total_openings","median_wage","median_wage_symbol","jobsohioregion"
"1","00-0000","Total, All Occupations","1996374",2056711,60337,0.0302,6034,86886,132740,225660,"18.760000000000002",NA,"Northeast"
"2","11-0000","Management Occupations","115028",122259,7231,0.0629,723,3524,6102,10349,"47.31",NA,"Northeast"
"3","11-1011","Chief Executives","2419",2171,-248,-0.1025,-25,63,93,131,"93.02",NA,"Northeast"
"4","11-1021","General and Operations Managers","24789",26045,1256,0.0507,126,508,1576,2210,"45.59",NA,"Northeast"
"5","11-1031","Legislators","1159",1189,30,0.0259,3,27,58,88,"36940","**","Northeast"
"6","11-2021","Marketing Managers","2174",2306,132,0.0607,13,45,141,199,"61.39",NA,"Northeast"
"7","11-2022","Sales Managers","4314",4488,174,0.0403,17,88,277,382,"60.47",NA,"Northeast"
"8","11-2030","Public Relations and Fundraising Managers","754",816,62,0.0822,6,20,44,70,"57.62","^","Northeast"
"9","11-3010","Administrative Services and Facilities Managers","3776",3959,183,0.0485,18,110,193,321,"47.73","^","Northeast"
"10","11-3021","Computer and Information Systems Managers","4267",4602,335,0.0785,34,72,252,358,"62.5",NA,"Northeast"
"11","11-3031","Financial Managers","8146",9305,1159,0.1423,116,179,438,733,"60.69",NA,"Northeast"
"12","11-3051","Industrial Production Managers","4631",4771,140,0.0302,14,91,222,327,"48.38",NA,"Northeast"
"13","11-3061","Purchasing Managers","808",839,31,0.0384,3,18,44,65,"57.4",NA,"Northeast"
"14","11-3071","Transportation, Storage, and Distribution Managers","2151",2309,158,0.0735,16,42,123,181,"42.85",NA,"Northeast"
"15","11-3111","Compensation and Benefits Managers","145",148,3,0.0207,0,3,8,11,"61.83",NA,"Northeast"
"16","11-3121","Human Resources Managers","1424",1522,98,0.0688,10,34,82,126,"57.75",NA,"Northeast"
"17","11-3131","Training and Development Managers","280",304,24,0.0857,2,6,19,27,"57.19",NA,"Northeast"
"18","11-9013","Farmers, Ranchers, and Other Agricultural Managers","20475",21387,912,0.0445,91,1291,727,2109,"35.119999999999997","^","Northeast"
"19","11-9021","Construction Managers","3499",3824,325,0.0929,32,75,185,292,"45.36",NA,"Northeast"
"20","11-9031","Education Administrators, Preschool and Childcare Center/Program","718",784,66,0.0919,7,19,35,61,"22.5",NA,"Northeast"
"21","11-9032","Education Administrators, Elementary and Secondary School","3727",3943,216,0.058,22,95,178,295,"97092","**","Northeast"
"22","11-9033","Education Administrators, Postsecondary","1185",1221,36,0.0304,4,30,56,90,"45.51",NA,"Northeast"
"23","11-9039","Education Administrators, All Other","310",337,27,0.0871,3,8,15,26,"30.35",NA,"Northeast"
"24","11-9041","Architectural and Engineering Managers","1893",1928,35,0.0185,4,34,97,135,"63.35",NA,"Northeast"
"25","11-9051","Food Service Managers","4103",4504,401,0.0977,40,132,344,516,"23.97",NA,"Northeast"
"26","11-9081","Lodging Managers","359",386,27,0.0752,3,14,26,43,"28.53",NA,"Northeast"
"27","11-9111","Medical and Health Services Managers","5216",6478,1262,0.2419,126,146,297,569,"47.76",NA,"Northeast"
"28","11-9121","Natural Sciences Managers","197",210,13,0.066,1,4,10,15,"49.17",NA,"Northeast"
"29","11-9131","Postmasters and Mail Superintendents","157",141,-16,-0.1019,-2,4,7,9,"39.619999999999997",NA,"Northeast"
