jobsohioregion,cip_code,degree_group_logord,academic_year,graduates,graduates_randomized
1,01.0101,1,2014,2,22
1,01.0101,2,2010,1,5
1,01.0101,2,2011,11,1
1,01.0101,2,2012,21,6
1,01.0101,2,2013,19,29
1,01.0101,2,2014,18,29
1,01.0101,2,2015,25,23
1,01.0101,2,2016,50,42
1,01.0101,2,2017,29,41
1,01.0101,2,2018,34,17
1,01.0101,2,2019,33,44
1,01.0101,2,2020,41,56
1,01.0101,2,2021,22,19
1,01.0101,2,2022,16,22
1,01.0101,3,2021,7,23
1,01.0101,3,2022,10,0
1,01.0102,2,2014,1,17
1,01.0102,2,2019,1,15
1,01.0102,2,2020,2,0
1,01.0102,2,2021,4,7
1,01.0102,2,2022,2,2
1,01.0201,2,2010,11,0
1,01.0201,2,2011,10,27
1,01.0201,2,2012,10,0
1,01.0201,2,2013,21,19
1,01.0201,2,2014,15,10
1,01.0201,2,2015,19,30
1,01.0201,2,2016,25,45
1,01.0201,2,2017,13,28
1,01.0201,2,2018,20,7
1,01.0201,2,2019,13,19
1,01.0201,2,2020,18,0
1,01.0201,2,2021,17,7
1,01.0201,2,2022,13,8
1,01.0205,1,2011,48,66
1,01.0205,1,2012,48,61
1,01.0205,1,2013,62,68
1,01.0205,1,2014,59,48
1,01.0205,1,2015,63,81
1,01.0205,1,2016,58,47
1,01.0205,1,2017,67,71
1,01.0205,1,2018,37,48
1,01.0205,1,2019,41,54
1,01.0205,1,2020,32,50
1,01.0205,1,2021,23,27
1,01.0205,1,2022,15,0
1,01.0205,2,2011,102,117
1,01.0205,2,2012,113,115
1,01.0205,2,2013,137,122
1,01.0205,2,2014,144,136
1,01.0205,2,2015,161,154
1,01.0205,2,2016,134,151
1,01.0205,2,2017,153,147
1,01.0205,2,2018,121,109
1,01.0205,2,2019,120,122
1,01.0205,2,2020,112,100
1,01.0205,2,2021,89,73
1,01.0205,2,2022,95,95
1,01.0303,1,2013,38,45
1,01.0303,1,2014,29,36
1,01.0303,1,2017,1,12
1,01.0303,1,2018,59,49
1,01.0307,3,2013,3,0
1,01.0307,3,2015,1,0
